date,outlet_id,item_id,on_hand_qty,wastage_qty,days_to_expiry
2025-03-19,1,1,41.09,0,283
2025-03-19,1,2,50.68,2,79
2025-03-19,1,3,89.11,0,64
2025-03-19,1,4,97.36,3,149
2025-03-19,1,5,146.06,4,206
2025-03-19,1,6,35.27,1,33
2025-03-19,1,7,42.81,1,109
2025-03-19,1,8,227.56,10,119
2025-03-19,1,9,12.94,1,25
2025-03-19,1,10,141.1,4,19
2025-03-19,1,11,122.03,7,59
2025-03-19,1,12,213.89,5,25
2025-03-19,1,13,64.93,2,12
2025-03-19,1,14,100.95,1,185
2025-03-19,1,15,43.79,0,165
2025-03-19,1,16,68.19,2,107
2025-03-19,1,17,175.94,4,65
2025-03-19,1,18,58.27,3,12
2025-03-19,1,19,124.93,4,72
2025-03-19,1,20,42.93,2,4
2025-03-19,1,21,61.93,2,38
2025-03-19,1,22,141.67,1,93
2025-03-19,1,23,191.21,7,207
2025-03-19,1,24,220.15,7,11
2025-03-19,1,25,63.26,3,95
2025-03-19,1,26,86.41,1,1
2025-03-19,1,27,103.9,3,8
2025-03-19,1,28,65.25,3,3
2025-03-19,1,29,38.15,3,17
2025-03-19,1,30,55.65,8,5
2025-03-19,1,31,78.16,12,8
2025-03-19,1,32,43.75,1,6
2025-03-19,1,33,34.13,4,6
2025-03-19,1,34,34.27,0,3
2025-03-19,1,35,54.73,7,4
2025-03-19,1,36,42.61,3,1
2025-03-19,1,37,49.77,3,11
2025-03-19,1,38,7.14,0,8
2025-03-19,1,39,29.37,1,13
2025-03-19,1,40,10.52,1,9
2025-03-19,1,41,35.61,6,2
2025-03-19,1,42,52.73,2,0
2025-03-19,1,43,38.24,1,7
2025-03-19,1,44,88.13,9,1
2025-03-19,1,45,12.29,0,9
2025-03-19,1,46,25.61,7,3
2025-03-19,1,47,24.45,1,11
2025-03-19,1,48,33.18,3,8
2025-03-19,1,49,25.44,1,3
2025-03-19,1,50,40.43,1,2
2025-03-19,2,1,145.33,1,81
2025-03-19,2,2,9.89,1,143
2025-03-19,2,3,125.11,1,61
2025-03-19,2,4,139.9,5,62
2025-03-19,2,5,78.16,4,185
2025-03-19,2,6,175.58,7,137
2025-03-19,2,7,106.08,3,262
2025-03-19,2,8,27.81,1,81
2025-03-19,2,9,140.63,4,14
2025-03-19,2,10,89.48,0,79
2025-03-19,2,11,36.31,0,21
2025-03-19,2,12,107.7,1,317
2025-03-19,2,13,76.59,2,214
2025-03-19,2,14,182.28,9,196
2025-03-19,2,15,54.89,1,135
2025-03-19,2,16,143.69,2,21
2025-03-19,2,17,88.97,0,128
2025-03-19,2,18,14.69,1,138
2025-03-19,2,19,113.96,3,97
2025-03-19,2,20,65.45,0,163
2025-03-19,2,21,130.41,3,87
2025-03-19,2,22,10.23,0,55
2025-03-19,2,23,108.63,2,5
2025-03-19,2,24,158.62,10,178
2025-03-19,2,25,100.03,5,145
2025-03-19,2,26,50.87,2,6
2025-03-19,2,27,43.32,4,7
2025-03-19,2,28,37.1,1,0
2025-03-19,2,29,26.64,3,15
2025-03-19,2,30,16.63,0,4
2025-03-19,2,31,34.76,3,9
2025-03-19,2,32,22.06,3,8
2025-03-19,2,33,51.25,3,2
2025-03-19,2,34,109.12,6,4
2025-03-19,2,35,67.02,3,3
2025-03-19,2,36,54.04,0,5
2025-03-19,2,37,41.23,1,9
2025-03-19,2,38,54.9,4,2
2025-03-19,2,39,74.87,3,9
2025-03-19,2,40,20.67,0,16
2025-03-19,2,41,44.35,3,1
2025-03-19,2,42,23.76,1,2
2025-03-19,2,43,85.55,11,1
2025-03-19,2,44,57.61,3,12
2025-03-19,2,45,83.96,10,10
2025-03-19,2,46,4.83,1,2
2025-03-19,2,47,44.41,5,9
2025-03-19,2,48,36.89,2,1
2025-03-19,2,49,76.5,4,4
2025-03-19,2,50,26.94,1,0
2025-03-19,3,1,194.14,3,8
2025-03-19,3,2,156.73,8,265
2025-03-19,3,3,43.57,2,73
2025-03-19,3,4,39.41,1,196
2025-03-19,3,5,178.75,15,213
2025-03-19,3,6,182.56,8,130
2025-03-19,3,7,110.34,4,38
2025-03-19,3,8,166.08,1,53
2025-03-19,3,9,102.41,0,110
2025-03-19,3,10,135.98,0,117
2025-03-19,3,11,102.57,2,14
2025-03-19,3,12,187.87,3,96
2025-03-19,3,13,33.6,0,46
2025-03-19,3,14,204.82,6,175
2025-03-19,3,15,20.62,0,205
2025-03-19,3,16,50.0,0,8
2025-03-19,3,17,153.88,1,27
2025-03-19,3,18,99.93,1,93
2025-03-19,3,19,81.62,4,149
2025-03-19,3,20,47.05,0,84
2025-03-19,3,21,96.63,1,45
2025-03-19,3,22,18.0,0,81
2025-03-19,3,23,184.13,2,11
2025-03-19,3,24,35.99,2,36
2025-03-19,3,25,53.71,2,198
2025-03-19,3,26,79.13,2,2
2025-03-19,3,27,26.53,3,17
2025-03-19,3,28,71.22,10,6
2025-03-19,3,29,75.46,7,18
2025-03-19,3,30,59.9,4,6
2025-03-19,3,31,82.6,6,17
2025-03-19,3,32,47.96,7,1
2025-03-19,3,33,67.09,7,2
2025-03-19,3,34,50.73,0,1
2025-03-19,3,35,56.41,0,0
2025-03-19,3,36,18.17,1,2
2025-03-19,3,37,33.29,4,7
2025-03-19,3,38,10.33,0,11
2025-03-19,3,39,80.41,2,9
2025-03-19,3,40,84.39,5,18
2025-03-19,3,41,45.84,1,2
2025-03-19,3,42,9.77,0,3
2025-03-19,3,43,43.64,2,19
2025-03-19,3,44,40.53,3,12
2025-03-19,3,45,12.32,0,10
2025-03-19,3,46,17.52,0,1
2025-03-19,3,47,35.87,5,3
2025-03-19,3,48,69.39,8,0
2025-03-19,3,49,24.39,1,2
2025-03-19,3,50,41.04,4,9
2025-03-19,4,1,16.03,1,265
2025-03-19,4,2,85.39,3,37
2025-03-19,4,3,148.64,5,31
2025-03-19,4,4,63.63,1,316
2025-03-19,4,5,166.54,1,157
2025-03-19,4,6,65.35,3,181
2025-03-19,4,7,124.31,5,158
2025-03-19,4,8,39.71,2,63
2025-03-19,4,9,54.76,0,48
2025-03-19,4,10,33.85,1,101
2025-03-19,4,11,174.09,1,123
2025-03-19,4,12,121.35,7,131
2025-03-19,4,13,51.2,1,59
2025-03-19,4,14,174.22,3,151
2025-03-19,4,15,77.05,0,189
2025-03-19,4,16,36.26,2,83
2025-03-19,4,17,132.24,0,124
2025-03-19,4,18,123.68,5,204
2025-03-19,4,19,204.56,7,143
2025-03-19,4,20,11.35,0,58
2025-03-19,4,21,48.6,0,118
2025-03-19,4,22,87.48,3,74
2025-03-19,4,23,168.83,10,251
2025-03-19,4,24,82.56,1,147
2025-03-19,4,25,67.89,2,154
2025-03-19,4,26,9.74,0,2
2025-03-19,4,27,59.52,3,13
2025-03-19,4,28,28.95,3,4
2025-03-19,4,29,40.85,0,9
2025-03-19,4,30,27.9,2,11
2025-03-19,4,31,59.11,2,18
2025-03-19,4,32,24.53,5,6
2025-03-19,4,33,34.21,6,7
2025-03-19,4,34,46.85,2,1
2025-03-19,4,35,45.67,1,1
2025-03-19,4,36,21.41,0,8
2025-03-19,4,37,18.72,1,11
2025-03-19,4,38,45.86,3,10
2025-03-19,4,39,12.68,2,5
2025-03-19,4,40,18.85,1,17
2025-03-19,4,41,101.31,12,2
2025-03-19,4,42,52.39,1,5
2025-03-19,4,43,83.52,16,17
2025-03-19,4,44,20.14,0,10
2025-03-19,4,45,13.73,1,13
2025-03-19,4,46,36.72,2,1
2025-03-19,4,47,37.48,1,1
2025-03-19,4,48,14.42,3,3
2025-03-19,4,49,28.1,4,6
2025-03-19,4,50,5.26,1,12
2025-03-19,5,1,191.41,2,26
2025-03-19,5,2,80.74,7,117
2025-03-19,5,3,116.19,5,94
2025-03-19,5,4,137.75,5,307
2025-03-19,5,5,62.06,2,43
2025-03-19,5,6,35.52,0,49
2025-03-19,5,7,82.41,3,67
2025-03-19,5,8,250.98,12,32
2025-03-19,5,9,176.54,9,138
2025-03-19,5,10,66.3,1,19
2025-03-19,5,11,33.8,2,119
2025-03-19,5,12,82.2,1,245
2025-03-19,5,13,172.88,4,75
2025-03-19,5,14,70.01,1,213
2025-03-19,5,15,102.45,1,74
2025-03-19,5,16,31.92,1,32
2025-03-19,5,17,88.66,0,118
2025-03-19,5,18,139.99,5,106
2025-03-19,5,19,158.54,3,112
2025-03-19,5,20,140.35,3,38
2025-03-19,5,21,123.27,5,24
2025-03-19,5,22,107.74,0,88
2025-03-19,5,23,207.75,6,38
2025-03-19,5,24,51.67,1,100
2025-03-19,5,25,77.54,3,12
2025-03-19,5,26,28.33,5,1
2025-03-19,5,27,27.07,4,16
2025-03-19,5,28,10.2,1,4
2025-03-19,5,29,82.76,9,17
2025-03-19,5,30,19.33,0,2
2025-03-19,5,31,65.37,0,3
2025-03-19,5,32,24.83,1,6
2025-03-19,5,33,80.05,9,4
2025-03-19,5,34,11.94,0,4
2025-03-19,5,35,62.31,10,0
2025-03-19,5,36,41.48,5,8
2025-03-19,5,37,53.78,2,9
2025-03-19,5,38,19.58,1,4
2025-03-19,5,39,100.93,8,8
2025-03-19,5,40,17.95,1,10
2025-03-19,5,41,30.31,1,0
